iter	Passed	Remaining
609	5672	3626
610	5681	3617
611	5690	3607
612	5699	3598
613	5709	3589
614	5718	3579
615	5728	3571
616	5738	3562
617	5748	3553
618	5756	3543
619	5765	3533
620	5775	3524
621	5783	3514
622	5792	3505
623	5801	3495
624	5812	3487
625	5821	3478
626	5830	3468
627	5839	3459
628	5848	3449
629	5858	3440
630	5866	3430
631	5877	3422
632	5885	3412
633	5895	3403
634	5905	3394
635	5915	3385
636	5924	3376
637	5933	3366
638	5943	3357
639	5951	3347
640	5961	3338
641	5970	3329
642	5980	3320
643	5990	3311
644	5998	3301
645	6006	3291
646	6015	3281
647	6024	3272
648	6031	3262
649	6040	3252
650	6049	3243
651	6058	3233
652	6066	3223
653	6074	3213
654	6083	3204
655	6090	3193
656	6099	3184
657	6107	3174
658	6118	3165
659	6126	3155
660	6134	3146
661	6143	3136
662	6152	3127
663	6160	3117
664	6168	3107
665	6178	3098
666	6186	3088
667	6197	3080
668	6206	3070
669	6214	3060
670	6222	3051
671	6232	3042
672	6242	3032
673	6251	3023
674	6261	3014
675	6270	3005
676	6278	2995
677	6286	2985
678	6296	2976
679	6304	2966
680	6315	2958
681	6324	2949
682	6333	2939
683	6342	2930
684	6349	2920
685	6357	2909
686	6366	2900
687	6375	2891
688	6384	2881
689	6393	2872
690	6402	2863
691	6412	2854
692	6422	2845
693	6430	2835
694	6438	2825
695	6448	2816
696	6456	2806
697	6466	2798
698	6474	2787
699	6484	2778
700	6493	2769
701	6503	2760
702	6510	2750
703	6520	2741
704	6531	2732
705	6540	2723
706	6550	2714
707	6559	2705
708	6567	2695
709	6576	2686
710	6584	2676
711	6593	2667
712	6603	2657
713	6612	2648
714	6620	2638
715	6629	2629
716	6638	2620
717	6646	2610
718	6655	2601
719	6664	2591
720	6673	2582
721	6681	2572
722	6691	2563
723	6699	2553
724	6708	2544
725	6716	2534
726	6725	2525
727	6733	2515
728	6742	2506
729	6751	2497
730	6760	2487
731	6767	2477
732	6776	2468
733	6784	2458
734	6793	2449
735	6801	2439
736	6811	2430
737	6818	2420
738	6827	2411
739	6836	2402
740	6844	2392
741	6852	2382
742	6862	2373
743	6871	2364
744	6879	2354
745	6888	2345
746	6897	2335
747	6906	2326
748	6915	2317
749	6925	2308
750	6934	2299
751	6944	2290
752	6954	2281
753	6961	2271
754	6970	2261
755	6979	2252
756	6987	2243
757	6997	2234
758	7005	2224
759	7014	2215
760	7024	2205
